operation_id;cpu_usage_unit;memory_usage_unit;consumer_deployment_usage_unit;provider_deployment_usage_unit;output_data_volum;input_data_volum;observation_unit;sub_pipeline_id;pipeline_id
1;1632;2480;32;20;50;80;796;0;0
2;856;60;15;34;60;60;394;0;0
3;1078;120;54;43;120;120;496;0;0
4;1114;1050;95;67;30;50;490;0;0
5;604;4100;29;29;140;100;273;0;0
6;752;12750;39;72;200;250;304;0;0
7;2050;90;83;91;10;15;934;0;0
8;714;58794;64;64;356;478;293;0;0
9;954;12926045;102;83;9765;10945;394;0;0
10;1572;257808;47;89;459;786;697;0;0